StudentID,SchoolID,Season_Year,Test_Date,Mathematics_Score,Mathematics_Met_Growth_Target,Reading_Score,Reading_Met_Growth_Target
10313,123,Fall 2020-2021,9/15/2020,215,Yes,467,Yes
10314,123,Fall 2020-2021,9/15/2020,223,No,203,No
10315,123,Fall 2020-2021,9/15/2020,332,Yes*,280,Yes*
10316,123,Fall 2020-2021,9/15/2020,493,No*,339,No*
10317,123,Fall 2020-2021,9/15/2020,500,No*,208,No*
10318,123,Fall 2020-2021,9/15/2020,226,No,399,No
10319,123,Fall 2020-2021,9/15/2020,221,Yes,311,Yes
10320,123,Fall 2020-2021,9/15/2020,465,Yes,287,Yes
10321,123,Fall 2020-2021,9/15/2020,342,Yes,251,Yes
10323,123,Fall 2020-2021,9/15/2020,428,Yes*,243,Yes*
10324,123,Fall 2020-2021,9/15/2020,372,No*,415,No*
10325,123,Fall 2020-2021,9/15/2020,308,No,492,Yes
10337,123,Fall 2020-2021,9/15/2020,423,Yes*,332,Yes*
10338,123,Fall 2020-2021,9/15/2020,369,No*,284,No*
10339,123,Fall 2020-2021,9/15/2020,285,No*,376,No*
10340,123,Fall 2020-2021,9/15/2020,459,No,360,No
10341,123,Fall 2020-2021,9/15/2020,347,Yes,492,Yes
10342,123,Fall 2020-2021,9/15/2020,489,Yes,220,Yes
10343,123,Fall 2020-2021,9/15/2020,372,Yes,494,Yes
10344,123,Fall 2020-2021,9/15/2020,352,Yes*,483,Yes*
10345,123,Fall 2020-2021,9/15/2020,348,No*,404,No*
10346,123,Fall 2020-2021,9/15/2020,389,Yes,413,Yes
10347,123,Fall 2020-2021,9/15/2020,327,Yes,201,Yes
10348,123,Fall 2020-2021,9/15/2020,266,Yes,488,Yes
10349,123,Fall 2020-2021,9/15/2020,495,No,342,No
10350,123,Fall 2020-2021,9/15/2020,360,Yes,321,Yes
10351,123,Fall 2020-2021,9/15/2020,416,No,430,No
10352,123,Fall 2020-2021,9/15/2020,367,No,420,No
10353,123,Fall 2020-2021,9/15/2020,492,Yes*,220,Yes*
10354,123,Fall 2020-2021,9/15/2020,266,No*,231,No*
10355,123,Fall 2020-2021,9/15/2020,336,No*,437,No*
10356,123,Fall 2020-2021,9/15/2020,481,Yes,489,Yes
10357,123,Fall 2020-2021,9/15/2020,476,No,252,No
10358,123,Fall 2020-2021,9/15/2020,394,Yes*,204,Yes*
10359,123,Fall 2020-2021,9/15/2020,285,No*,467,No*
10360,123,Fall 2020-2021,9/15/2020,247,No*,321,No*
10361,123,Fall 2020-2021,9/15/2020,363,No,421,No
10362,123,Fall 2020-2021,9/15/2020,385,Yes,247,Yes
10363,123,Fall 2020-2021,9/15/2020,450,Yes,360,Yes
10364,123,Fall 2020-2021,9/15/2020,463,Yes,319,Yes
10365,123,Fall 2020-2021,9/15/2020,428,Yes*,331,Yes*
10366,123,Fall 2020-2021,9/15/2020,320,No*,372,No*
10367,123,Fall 2020-2021,9/15/2020,310,Yes,294,Yes
