studentid,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
10313,123,Fall 2020-2021,2020-09-15,215,Yes,467,Yes
10314,123,Fall 2020-2021,2020-09-15,223,No,203,No
10315,123,Fall 2020-2021,2020-09-15,332,Yes,280,Yes
10316,123,Fall 2020-2021,2020-09-15,493,No,339,No
10317,123,Fall 2020-2021,2020-09-15,500,No,208,No
10318,123,Fall 2020-2021,2020-09-15,226,No,399,No
10319,123,Fall 2020-2021,2020-09-15,221,Yes,311,Yes
10320,123,Fall 2020-2021,2020-09-15,465,Yes,287,Yes
10321,123,Fall 2020-2021,2020-09-15,342,Yes,251,Yes
10323,123,Fall 2020-2021,2020-09-15,428,Yes,243,Yes
10324,123,Fall 2020-2021,2020-09-15,372,No,415,No
10325,123,Fall 2020-2021,2020-09-15,308,No,492,Yes
10337,123,Fall 2020-2021,2020-09-15,423,Yes,332,Yes
10338,123,Fall 2020-2021,2020-09-15,369,No,284,No
10339,123,Fall 2020-2021,2020-09-15,285,No,376,No
10340,123,Fall 2020-2021,2020-09-15,459,No,360,No
10341,123,Fall 2020-2021,2020-09-15,347,Yes,492,Yes
10342,123,Fall 2020-2021,2020-09-15,489,Yes,220,Yes
10343,123,Fall 2020-2021,2020-09-15,372,Yes,494,Yes
10344,123,Fall 2020-2021,2020-09-15,352,Yes,483,Yes
10345,123,Fall 2020-2021,2020-09-15,348,No,404,No
10346,123,Fall 2020-2021,2020-09-15,389,Yes,413,Yes
10347,123,Fall 2020-2021,2020-09-15,327,Yes,201,Yes
10348,123,Fall 2020-2021,2020-09-15,266,Yes,488,Yes
10349,123,Fall 2020-2021,2020-09-15,495,No,342,No
10350,123,Fall 2020-2021,2020-09-15,360,Yes,321,Yes
10351,123,Fall 2020-2021,2020-09-15,416,No,430,No
10352,123,Fall 2020-2021,2020-09-15,367,No,420,No
10353,123,Fall 2020-2021,2020-09-15,492,Yes,220,Yes
10354,123,Fall 2020-2021,2020-09-15,266,No,231,No
10355,123,Fall 2020-2021,2020-09-15,336,No,437,No
10356,123,Fall 2020-2021,2020-09-15,481,Yes,489,Yes
10357,123,Fall 2020-2021,2020-09-15,476,No,252,No
10358,123,Fall 2020-2021,2020-09-15,394,Yes,204,Yes
10359,123,Fall 2020-2021,2020-09-15,285,No,467,No
10360,123,Fall 2020-2021,2020-09-15,247,No,321,No
10361,123,Fall 2020-2021,2020-09-15,363,No,421,No
10362,123,Fall 2020-2021,2020-09-15,385,Yes,247,Yes
