studentid,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
2239664255.0,6789,Fall 2020-2021,2020-10-13,315.0,No,391.0,No
2650023533.0,6789,Fall 2020-2021,2020-10-13,221.0,No,465.0,No
344193484.0,6789,Fall 2020-2021,2020-10-13,273.0,No,469.0,No
4716164342.0,6789,Fall 2020-2021,2020-10-13,208.0,Yes,342.0,Yes
3506382949.0,6789,Fall 2020-2021,2020-10-13,223.0,Unknown,248.0,Unknown
8574797805.0,6789,Fall 2020-2021,2020-10-13,320.0,Yes,378.0,Yes
3701316756.0,6789,Fall 2020-2021,2020-10-13,239.0,Yes,465.0,Yes
6214190681.0,6789,Fall 2020-2021,2020-10-13,341.0,No,382.0,No
7375670549.0,6789,Fall 2020-2021,2020-10-13,361.0,Yes,296.0,Yes
5698036464.0,6789,Fall 2020-2021,2020-10-13,469.0,Yes,341.0,Yes
4773697868.0,6789,Fall 2020-2021,2020-10-13,409.0,Yes,321.0,Yes
1357555472.0,6789,Fall 2020-2021,2020-10-13,478.0,No,446.0,No
4785762524.0,6789,Fall 2020-2021,2020-10-13,450.0,Yes,275.0,Yes
5826647744.0,6789,Fall 2020-2021,2020-10-13,276.0,No,469.0,No
9399859196.0,6789,Fall 2020-2021,,427.0,No,449.0,No
6099783344.0,6789,Fall 2020-2021,,277.0,Yes,402.0,Yes
4933994695.0,6789,Fall 2020-2021,2020-10-13,228.0,No,254.0,No
8610854055.0,6789,Fall 2020-2021,2020-10-13,344.0,Yes,245.0,Yes
1900097065.0,6789,Fall 2020-2021,2020-10-13,432.0,No,496.0,No
2980911060.0,6789,Fall 2020-2021,2020-10-13,287.0,Yes,263.0,Yes
1595784641.0,6789,Fall 2020-2021,2020-10-13,216.0,No,206.0,No
9338847254.0,6789,Fall 2020-2021,2020-10-13,404.0,No,398.0,No
4088843875.0,6789,Fall 2020-2021,2020-10-13,304.0,No,261.0,No
3911322178.0,6789,Fall 2020-2021,2020-10-13,372.0,Yes,287.0,Yes
7869449224.0,6789,Fall 2020-2021,2020-10-13,231.0,Yes,492.0,Yes
3020511831.0,6789,Fall 2020-2021,2020-10-13,370.0,Yes,484.0,Yes
5077260513.0,6789,Fall 2020-2021,2020-10-13,282.0,Yes,391.0,Yes
8889698069.0,6789,Fall 2020-2021,2020-10-13,418.0,No,486.0,No
