StudentID,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
18563,11111,Fall 2020-2021,2020-10-05,215,Yes,467,Yes
18565,11111,Fall 2020-2021,2020-10-05,223,No,203,No
18567,11111,Fall 2020-2021,2020-10-05,332,Yes,280,Yes
18569,11111,Fall 2020-2021,2020-10-05,493,No,339,No
18571,11111,Fall 2020-2021,2020-10-05,500,No,208,No
18572,11111,Fall 2020-2021,2020-10-05,226,No,399,No
18574,11111,Fall 2020-2021,2020-10-05,221,Yes,311,Yes
18576,11111,Fall 2020-2021,2020-10-05,465,Yes,287,Yes
18578,11111,Fall 2020-2021,2020-10-05,342,Yes,251,Yes
18581,11111,Fall 2020-2021,2020-10-05,428,Yes,243,Yes
18583,11111,Fall 2020-2021,2020-10-05,372,No,415,No
18585,11111,Fall 2020-2021,2020-10-05,308,No,492,Yes
18607,11111,Fall 2020-2021,2020-10-05,423,Yes,332,Yes
18608,11111,Fall 2020-2021,2020-10-05,369,No,284,No
18610,11111,Fall 2020-2021,2020-10-05,285,No,376,No
18612,11111,Fall 2020-2021,2020-10-05,459,No,360,No
18614,11111,Fall 2020-2021,2020-10-05,347,Yes,492,Yes
18616,11111,Fall 2020-2021,2020-10-05,489,Yes,220,Yes
18617,11111,Fall 2020-2021,2020-10-05,372,Yes,494,Yes
18619,11111,Fall 2020-2021,2020-10-05,352,Yes,483,Yes
18621,11111,Fall 2020-2021,2020-10-05,348,No,404,No
18623,11111,Fall 2020-2021,2020-10-05,389,Yes,413,Yes
18625,11111,Fall 2020-2021,2020-10-05,327,Yes,201,Yes
18626,11111,Fall 2020-2021,2020-10-05,266,Yes,488,Yes
18628,11111,Fall 2020-2021,2020-10-05,495,No,342,No
18630,11111,Fall 2020-2021,2020-10-05,360,Yes,321,Yes
18632,11111,Fall 2020-2021,2020-10-05,416,No,430,No
18634,11111,Fall 2020-2021,2020-10-05,367,No,420,No
18635,11111,Fall 2020-2021,2020-10-05,492,Yes,220,Yes
18637,11111,Fall 2020-2021,2020-10-05,266,No,231,No
18639,11111,Fall 2020-2021,2020-10-05,336,No,437,No
18641,11111,Fall 2020-2021,2020-10-05,481,Yes,489,Yes
18643,11111,Fall 2020-2021,2020-10-05,476,No,252,No
18644,11111,Fall 2020-2021,2020-10-05,394,Yes,204,Yes
18646,11111,Fall 2020-2021,2020-10-05,285,No,467,No
18648,11111,Fall 2020-2021,2020-10-05,247,No,321,No
18650,11111,Fall 2020-2021,2020-10-05,363,No,421,No
18652,11111,Fall 2020-2021,2020-10-05,385,Yes,247,Yes
18653,11111,Fall 2020-2021,2020-10-05,450,Yes,360,Yes
18655,11111,Fall 2020-2021,2020-10-05,463,Yes,319,Yes
18657,11111,Fall 2020-2021,2020-10-05,428,Yes,331,Yes
18659,11111,Fall 2020-2021,2020-10-05,320,No,372,No
18661,11111,Fall 2020-2021,2020-10-05,310,Yes,294,Yes
18662,11111,Fall 2020-2021,2020-10-05,373,Yes,354,Yes
18664,11111,Fall 2020-2021,2020-10-05,226,Yes,223,Yes
18666,11111,Fall 2020-2021,2020-10-05,280,No,345,No
18668,11111,Fall 2020-2021,2020-10-05,493,Yes,230,Yes
18670,11111,Fall 2020-2021,2020-10-05,276,No,362,No
18671,11111,Fall 2020-2021,2020-10-05,366,No,381,No
