StudentID,SchoolID,Season_Year,Test_Date,Mathematics_Score,Mathematics_Met_Growth_Target,Reading_Score,Reading_Met_Growth_Target
15470,432,Fall 2020-2021,9/15/2020,215,Yes,467,Yes
15471,432,Fall 2020-2021,9/15/2020,223,No,203,No
15473,432,Fall 2020-2021,9/15/2020,332,Yes*,280,Yes*
15474,432,Fall 2020-2021,9/15/2020,493,No*,339,No*
15476,432,Fall 2020-2021,9/15/2020,500,No*,208,No*
15477,432,Fall 2020-2021,9/15/2020,226,No,399,No
15479,432,Fall 2020-2021,9/15/2020,221,Yes,311,Yes
15480,432,Fall 2020-2021,9/15/2020,465,Yes,287,Yes
15482,432,Fall 2020-2021,9/15/2020,342,Yes,251,Yes
15485,432,Fall 2020-2021,9/15/2020,428,Yes*,243,Yes*
15486,432,Fall 2020-2021,9/15/2020,372,No*,415,No*
15488,432,Fall 2020-2021,9/15/2020,308,No,492,Yes
15506,432,Fall 2020-2021,9/15/2020,423,Yes*,332,Yes*
15507,432,Fall 2020-2021,9/15/2020,369,No*,284,No*
15509,432,Fall 2020-2021,9/15/2020,285,No*,376,No*
15510,432,Fall 2020-2021,9/15/2020,459,No,360,No
15512,432,Fall 2020-2021,9/15/2020,347,Yes,492,Yes
15513,432,Fall 2020-2021,9/15/2020,489,Yes,220,Yes
15515,432,Fall 2020-2021,9/15/2020,372,Yes,494,Yes
15516,432,Fall 2020-2021,9/15/2020,352,Yes*,483,Yes*
15518,432,Fall 2020-2021,9/15/2020,348,No*,404,No*
15519,432,Fall 2020-2021,9/15/2020,389,Yes,413,Yes
15521,432,Fall 2020-2021,9/15/2020,327,Yes,201,Yes
15522,432,Fall 2020-2021,9/15/2020,266,Yes,488,Yes
15524,432,Fall 2020-2021,9/15/2020,495,No,342,No
15525,432,Fall 2020-2021,9/15/2020,360,Yes,321,Yes
15527,432,Fall 2020-2021,9/15/2020,416,No,430,No
15528,432,Fall 2020-2021,9/15/2020,367,No,420,No
15530,432,Fall 2020-2021,9/15/2020,492,Yes*,220,Yes*
15531,432,Fall 2020-2021,9/15/2020,266,No*,231,No*
15533,432,Fall 2020-2021,9/15/2020,336,No*,437,No*
15534,432,Fall 2020-2021,9/15/2020,481,Yes,489,Yes
15536,432,Fall 2020-2021,9/15/2020,476,No,252,No
15537,432,Fall 2020-2021,9/15/2020,394,Yes*,204,Yes*
15539,432,Fall 2020-2021,9/15/2020,285,No*,467,No*
15540,432,Fall 2020-2021,9/15/2020,247,No*,321,No*
15542,432,Fall 2020-2021,9/15/2020,363,No,421,No
15543,432,Fall 2020-2021,9/15/2020,385,Yes,247,Yes
15545,432,Fall 2020-2021,9/15/2020,450,Yes,360,Yes
15546,432,Fall 2020-2021,9/15/2020,463,Yes,319,Yes
15548,432,Fall 2020-2021,9/15/2020,428,Yes*,331,Yes*
15549,432,Fall 2020-2021,9/15/2020,320,No*,372,No*
15551,432,Fall 2020-2021,9/15/2020,310,Yes,294,Yes
15552,432,Fall 2020-2021,9/15/2020,373,Yes,354,Yes
15554,432,Fall 2020-2021,9/15/2020,226,Yes,223,Yes
15555,432,Fall 2020-2021,9/15/2020,280,No,345,No
15557,432,Fall 2020-2021,9/15/2020,493,Yes,230,Yes
15558,432,Fall 2020-2021,9/15/2020,276,No,362,No
15560,432,Fall 2020-2021,9/15/2020,366,No,381,No
15561,432,Fall 2020-2021,9/15/2020,403,Yes*,433,Yes*
15563,432,Fall 2020-2021,9/15/2020,272,No*,259,No*
15564,432,Fall 2020-2021,9/15/2020,356,Yes,295,Yes
15566,432,Fall 2020-2021,9/15/2020,333,No,241,No
15567,432,Fall 2020-2021,9/15/2020,203,Yes*,244,Yes*
15569,432,Fall 2020-2021,9/15/2020,260,No*,312,No*
15570,432,Fall 2020-2021,9/15/2020,NA,No*,NA,No*
15572,432,Fall 2020-2021,9/15/2020,225,No,394,No
15573,432,Fall 2020-2021,9/15/2020,283,Yes,429,Yes
15576,432,Fall 2020-2021,9/15/2020,467,Yes,386,Yes
15578,432,Fall 2020-2021,9/15/2020,350,Yes,459,Yes
15579,432,Fall 2020-2021,9/15/2020,420,Yes*,236,Yes*
15581,432,Fall 2020-2021,9/15/2020,427,No*,476,No*
15584,432,Fall 2020-2021,9/15/2020,309,Yes,492,Yes
15585,432,Fall 2020-2021,9/15/2020,286,Yes,333,Yes
15587,432,Fall 2020-2021,9/15/2020,417,Yes,443,Yes
15588,432,Fall 2020-2021,9/15/2020,454,No,469,No
15590,432,Fall 2020-2021,9/15/2020,271,Yes,455,Yes
15591,432,Fall 2020-2021,9/15/2020,286,No,319,No
15593,432,Fall 2020-2021,9/15/2020,220,No,355,No
15594,432,Fall 2020-2021,9/15/2020,448,Yes*,238,Yes*
15596,432,Fall 2020-2021,9/15/2020,259,No*,275,No*
